时间,地区,确诊
2020-01-22,泰国,3
2020-01-22,新加坡,0
2020-01-22,马来西亚,0
2020-01-22,法国,0
2020-01-22,日本,1
2020-01-22,韩国,1
2020-01-22,美国,1
2020-01-22,越南,0
2020-01-22,尼泊尔,0
2020-01-22,澳大利亚,0
2020-01-22,加拿大,0
