地区,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26
加拿大,0,0,0,0,0,0,1
尼泊尔,0,0,0,0,1,1,1
新加坡,0,0,0,1,3,3,4
日本,1,1,1,2,2,2,4
法国,0,0,0,0,3,3,3
泰国,2,3,3,3,4,4,8
澳大利亚,0,0,0,0,1,1,4
美国,0,0,1,1,2,2,5
越南,0,0,0,2,2,2,2
韩国,1,1,1,1,2,2,4
马来西亚,0,0,0,0,0,3,3
