Date,Region,Confirmed,Suspected,Recovered,Death
2020-01-24,辽宁,12,,,
2020-01-25,辽宁,21,,,
2020-01-26,辽宁,22,,,
2020-01-20,重庆,0,,,
2020-01-21,重庆,5,,,
2020-01-22,重庆,6,,,
2020-01-23,重庆,9,,,
2020-01-24,重庆,57,,,
2020-01-25,重庆,75,,,
2020-01-26,重庆,110,,,
2020-01-20,陕西,0,,,
2020-01-21,陕西,0,,,
2020-01-22,陕西,0,,,
2020-01-23,陕西,3,,,
2020-01-24,陕西,5,,,
2020-01-25,陕西,22,,,
2020-01-26,陕西,22,,,
2020-01-20,青海,0,,,
2020-01-21,青海,0,,,
2020-01-22,青海,0,,,
2020-01-23,青海,0,,,
2020-01-24,青海,0,,,
2020-01-25,青海,1,,,
2020-01-26,青海,4,,,
2020-01-20,黑龙江,0,,,
2020-01-21,黑龙江,0,,,
2020-01-22,黑龙江,0,,,
2020-01-23,黑龙江,4,,,
2020-01-24,黑龙江,9,,,
2020-01-25,黑龙江,15,,,
2020-01-26,黑龙江,21,,,
