Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Deaths
Hubei,Mainland China,1/25/2020 12:00 AM,729,,32,39
Guangdong,Mainland China,1/25/2020 12:00 AM,78,,2
Zhejiang,Mainland China,1/25/2020 12:00 AM,62,,1
Chongqing,Mainland China,1/25/2020 12:00 AM,57
Hunan,Mainland China,1/25/2020 12:00 AM,43
Anhui,Mainland China,1/25/2020 12:00 AM,39,4
Beijing,Mainland China,1/25/2020 12:00 AM,36,,1
Shanghai,Mainland China,1/25/2020 12:00 AM,33,22,1
Henan,Mainland China,1/25/2020 12:00 AM,32,1
Sichuan,Mainland China,1/25/2020 12:00 AM,28,4
Guangxi,Mainland China,1/25/2020 12:00 AM,23
Shandong,Mainland China,1/25/2020 12:00 AM,21
Jiangxi,Mainland China,1/25/2020 12:00 AM,18
Jiangsu,Mainland China,1/25/2020 12:00 AM,18,,1
Hainan,Mainland China,1/25/2020 12:00 AM,17
Liaoning,Mainland China,1/25/2020 12:00 AM,15
Fujian,Mainland China,1/25/2020 12:00 AM,10,4
Heilongjiang,Mainland China,1/25/2020 12:00 AM,9,,,1
Tianjin,Mainland China,1/25/2020 12:00 AM,8
Hebei,Mainland China,1/25/2020 12:00 AM,8,,,1
Shanxi,Mainland China,1/25/2020 12:00 AM,6
Yunnan,Mainland China,1/25/2020 12:00 AM,5
Hong Kong,Hong Kong,1/25/2020 12:00 AM,5,36
Shaanxi,Mainland China,1/25/2020 12:00 AM,5
Guizhou,Mainland China,1/25/2020 12:00 AM,4
Jilin,Mainland China,1/25/2020 12:00 AM,4
Gansu,Mainland China,1/25/2020 12:00 AM,4
Ningxia,Mainland China,1/25/2020 12:00 AM,3,1
Taiwan,Taiwan,1/25/2020 12:00 AM,3
Xinjiang,Mainland China,1/25/2020 12:00 AM,3
Macau,Macau,1/25/2020 12:00 AM,2
Inner Mongolia,Mainland China,1/25/2020 12:00 AM,2
Qinghai,Mainland China,1/25/2020 12:00 AM,,1
Washington,US,1/25/2020 12:00 AM,1
Illinois,US,1/25/2020 12:00 AM,1
,Japan,1/25/2020 12:00 AM,2
,Thailand,1/25/2020 12:00 AM,5
,South Korea,1/25/2020 12:00 AM,2
,Singapore,1/25/2020 12:00 AM,3
,Vietnam,1/25/2020 12:00 AM,2
,France,1/25/2020 12:00 AM,3
,Australia,1/25/2020 12:00 AM,1
,Nepal,1/25/2020 12:00 AM,1
,Malaysia,1/25/2020 12:00 AM,3
