时间,地区,确诊
2020-01-21,湖北,375
2020-01-21,广东,26
2020-01-21,浙江,5
2020-01-21,重庆,5
2020-01-21,北京,10
2020-01-21,湖南,1
2020-01-21,上海,9
2020-01-21,山东,1
2020-01-21,安徽,0
2020-01-21,四川,2
2020-01-21,广西,0
2020-01-21,福建,0
2020-01-21,河南,1
2020-01-21,江苏,0
2020-01-21,海南,0
2020-01-21,江西,2
2020-01-21,天津,2
2020-01-21,黑龙江,0
2020-01-21,辽宁,0
2020-01-21,陕西,0
2020-01-21,贵州,0
2020-01-21,吉林,0
2020-01-21,甘肃,0
2020-01-21,河北,0
2020-01-21,新疆,0
2020-01-21,宁夏,0
2020-01-21,云南,1
2020-01-21,中国香港,0
2020-01-21,中国澳门,0
2020-01-21,山西,0
2020-01-21,内蒙古,0
2020-01-21,中国台湾,0
2020-01-21,青海,0
