时间,地区,确诊
2020-01-25,湖北,1052
2020-01-25,广东,111
2020-01-25,浙江,104
2020-01-25,重庆,75
2020-01-25,湖南,69
2020-01-25,安徽,60
2020-01-25,北京,54
2020-01-25,上海,40
2020-01-25,河南,83
2020-01-25,四川,44
2020-01-25,广西,36
2020-01-25,山东,46
2020-01-25,江苏,31
2020-01-25,江西,36
2020-01-25,海南,22
2020-01-25,辽宁,21
2020-01-25,福建,29
2020-01-25,黑龙江,15
2020-01-25,天津,13
2020-01-25,河北,13
2020-01-25,山西,9
2020-01-25,陕西,22
2020-01-25,云南,11
2020-01-25,贵州,5
2020-01-25,吉林,4
2020-01-25,甘肃,7
2020-01-25,新疆,4
2020-01-25,宁夏,4
2020-01-25,内蒙古,7
2020-01-25,青海,1
2020-01-25,中国香港,5
2020-01-25,中国澳门,5
2020-01-25,中国台湾,3
