时间,地区,确诊
2020-01-24,湖北,729
2020-01-24,广东,78
2020-01-24,浙江,62
2020-01-24,重庆,57
2020-01-24,北京,36
2020-01-24,湖南,43
2020-01-24,上海,20
2020-01-24,山东,21
2020-01-24,安徽,39
2020-01-24,四川,15
2020-01-24,广西,23
2020-01-24,福建,10
2020-01-24,河南,32
2020-01-24,江苏,18
2020-01-24,海南,8
2020-01-24,江西,18
2020-01-24,天津,8
2020-01-24,黑龙江,9
2020-01-24,辽宁,12
2020-01-24,陕西,5
2020-01-24,贵州,4
2020-01-24,吉林,4
2020-01-24,甘肃,4
2020-01-24,河北,8
2020-01-24,新疆,3
2020-01-24,宁夏,3
2020-01-24,云南,5
2020-01-24,中国香港,5
2020-01-24,中国澳门,2
2020-01-24,山西,6
2020-01-24,内蒙古,1
2020-01-24,中国台湾,3
2020-01-24,青海,0
