时间,地区,确诊
2020-01-22,湖北,444
2020-01-22,广东,26
2020-01-22,浙江,10
2020-01-22,重庆,6
2020-01-22,北京,14
2020-01-22,湖南,4
2020-01-22,上海,9
2020-01-22,山东,2
2020-01-22,安徽,1
2020-01-22,四川,5
2020-01-22,广西,2
2020-01-22,福建,1
2020-01-22,河南,5
2020-01-22,江苏,1
2020-01-22,海南,4
2020-01-22,江西,2
2020-01-22,天津,4
2020-01-22,黑龙江,0
2020-01-22,辽宁,2
2020-01-22,陕西,0
2020-01-22,贵州,1
2020-01-22,吉林,0
2020-01-22,甘肃,0
2020-01-22,河北,1
2020-01-22,新疆,0
2020-01-22,宁夏,1
2020-01-22,云南,1
2020-01-22,中国香港,1
2020-01-22,中国澳门,1
2020-01-22,山西,1
2020-01-22,内蒙古,0
2020-01-22,中国台湾,1
2020-01-22,青海,0
